x_center,content
0.04,0
0.12,0
0.2,0
0.28,0
0.36,0
0.44,0
0.52,0
0.6,0
0.68,0
0.76,0
0.84,0
0.92,15
1,22
1.08,527
1.16,1066
1.24,2332
1.32,2153
1.4,4360
1.48,4097
1.56,5881
1.64,6594
1.72,6759
1.8,7222
1.88,6152
1.96,7752
2.04,5932
2.12,7596
2.2,6024
2.28,8396
2.36,5848
2.44,8043
2.52,6883
2.6,7785
2.68,7664
2.76,7404
2.84,7755
2.92,6855
3,8213
3.08,6482
3.16,7586
3.24,5626
3.32,6894
3.4,6507
3.48,6011
3.56,6722
3.64,5709
3.72,6076
3.8,6880
3.88,6224
3.96,7790
4.04,5860
4.12,7390
4.2,5897
4.28,8256
4.36,5841
4.44,7922
4.52,6833
4.6,7388
4.68,7334
4.76,6991
4.84,7478
4.92,6609
5,7812
5.08,6268
5.16,7363
5.24,5790
5.32,6558
5.4,6573
5.48,6182
5.56,6764
5.64,6120
5.72,6357
5.8,7122
5.88,6367
5.96,8042
6.04,5917
6.12,7708
6.2,5927
6.28,8489
6.36,5862
6.44,8064
6.52,6996
6.6,7715
6.68,7490
6.76,7415
6.84,7827
6.92,6696
7,8028
7.08,6295
7.16,7332
7.24,5534
7.32,6387
7.4,5890
7.48,5678
7.56,6205
7.64,5578
7.72,6052
7.8,6876
7.88,6129
7.96,7611
8.04,5785
8.12,7546
8.2,5814
8.28,8033
8.36,5742
8.44,7796
8.52,6642
8.6,7270
8.68,7257
8.76,7071
8.84,7460
8.92,6368
9,7812
9.08,6155
9.16,7227
9.24,5816
9.32,6420
9.4,6500
9.48,5941
9.56,6786
9.64,6169
9.72,6316
9.8,7073
9.88,6199
9.96,7782
10.04,5775
10.12,7603
10.2,5995
10.28,8073
10.36,5811
10.44,8169
10.52,6687
10.6,7653
10.68,7272
10.76,7197
10.84,7604
10.92,6654
11,7980
11.08,6180
11.16,7147
11.24,5510
11.32,6402
11.4,5883
11.48,5461
11.56,6041
11.64,5342
11.72,6182
11.8,6683
11.88,6127
11.96,7662
12.04,5735
12.12,7469
12.2,5889
12.28,8062
12.36,5638
12.44,7669
12.52,6451
12.6,7313
12.68,7035
12.76,6999
12.84,7177
12.92,6538
13,7679
13.08,6128
13.16,7173
13.24,5843
13.32,6437
13.4,6435
13.48,5930
13.56,6713
13.64,5986
13.72,6352
13.8,6938
13.88,6348
13.96,7736
14.04,5674
14.12,7522
14.2,5825
14.28,7940
14.36,5818
14.44,7881
14.52,6714
14.6,7545
14.68,7145
14.76,7176
14.84,7363
14.92,6472
15,7840
15.08,6076
15.16,6982
15.24,5455
15.32,6207
15.4,5882
15.48,5503
15.56,6182
15.64,5288
15.72,5970
15.8,6328
15.88,6186
15.96,7418
16.04,5654
16.12,7521
16.2,5815
16.28,7841
16.36,5680
16.44,7496
16.52,6559
16.6,7088
16.68,6876
16.76,7098
16.84,7014
16.92,6350
17,7618
17.08,6010
17.16,7024
17.24,5597
17.32,6316
17.4,6253
17.48,5714
17.56,6429
17.64,5685
17.72,6141
17.8,6705
17.88,6071
17.96,7397
18.04,5443
18.12,7114
18.2,5671
18.28,7821
18.36,5477
18.44,7624
18.52,6660
18.6,7253
18.68,6862
18.76,7041
18.84,7255
18.92,6554
19,7695
19.08,5855
19.16,6884
19.24,5320
19.32,5981
19.4,5738
19.48,5308
19.56,5770
19.64,5144
19.72,5595
19.8,6395
19.88,5885
19.96,7185
20.04,5341
20.12,7150
20.2,5407
20.28,7703
20.36,5483
20.44,7479
20.52,6319
20.6,6964
20.68,6714
20.76,6814
20.84,6770
20.92,6213
21,7304
21.08,5699
21.16,6773
21.24,5526
21.32,5994
21.4,6143
21.48,5552
21.56,6292
21.64,5646
21.72,6107
21.8,6310
21.88,6001
21.96,6944
22.04,5660
22.12,7044
22.2,5614
22.28,7665
22.36,5235
22.44,7567
22.52,6133
22.6,7168
22.68,6638
22.76,6857
22.84,6865
22.92,6395
23,7374
23.08,5849
23.16,6484
23.24,5072
23.32,5812
23.4,5508
23.48,5200
23.56,5582
23.64,4973
23.72,5532
23.8,5980
23.88,5584
23.96,7012
24.04,5227
24.12,6928
24.2,5256
24.28,7327
24.36,5180
24.44,7147
24.52,5960
24.6,6842
24.68,6332
24.76,6463
24.84,6618
24.92,5920
25,7179
25.08,5533
25.16,6561
25.24,5161
25.32,5968
25.4,5843
25.48,5361
25.56,5978
25.64,5379
25.72,5677
25.8,6195
25.88,5609
25.96,6906
26.04,5168
26.12,6609
26.2,5248
26.28,7348
26.36,5059
26.44,7192
26.52,6025
26.6,6864
26.68,6512
26.76,6726
26.84,6445
26.92,6110
27,7093
27.08,5555
27.16,6288
27.24,4868
27.32,5513
27.4,5183
27.48,4936
27.56,5471
27.64,4776
27.72,5360
27.8,5822
27.88,5534
27.96,6627
28.04,5036
28.12,6456
28.2,5054
28.28,7106
28.36,4905
28.44,6868
28.52,5554
28.6,6327
28.68,6077
28.76,6220
28.84,6313
28.92,5685
29,6646
29.08,5306
29.16,6241
29.24,4794
29.32,5527
29.4,5635
29.48,5058
29.56,5755
29.64,5164
29.72,5440
29.8,5843
29.88,5384
29.96,6424
30.04,4991
30.12,6358
30.2,4963
30.28,6926
30.36,4703
30.44,6733
30.52,5551
30.6,6485
30.68,6068
30.76,6245
30.84,6375
30.92,5792
31,6809
31.08,5194
31.16,5914
31.24,4552
31.32,5293
31.4,4832
31.48,4837
31.56,5062
31.64,4446
31.72,5091
31.8,5587
31.88,5017
31.96,6304
32.04,4700
32.12,6151
32.2,4753
32.28,6733
32.36,4676
32.44,6417
32.52,5483
32.6,6132
32.68,5772
32.76,5898
32.84,6074
32.92,5384
33,6313
33.08,4872
33.16,5959
33.24,4652
33.32,5161
33.4,5127
33.48,4789
33.56,5178
33.64,4767
33.72,5050
33.8,5562
33.88,4922
33.96,6058
34.04,4674
34.12,6029
34.2,4810
34.28,6459
34.36,4614
34.44,6473
34.52,5228
34.6,6040
34.68,5816
34.76,5949
34.84,5860
34.92,5297
35,6220
35.08,4833
35.16,5674
35.24,4300
35.32,4914
35.4,4627
35.48,4433
35.56,4683
35.64,4161
35.72,4648
35.8,5259
35.88,4694
35.96,5835
36.04,4441
36.12,5688
36.2,4399
36.28,6157
36.36,4229
36.44,6039
36.52,5183
36.6,5742
36.68,5341
36.76,5439
36.84,5300
36.92,4969
37,5833
37.08,4651
37.16,5473
37.24,4336
37.32,4950
37.4,4888
37.48,4498
37.56,4916
37.64,4436
37.72,4598
37.8,5225
37.88,4612
37.96,5609
38.04,4390
38.12,5547
38.2,4379
38.28,6116
38.36,4177
38.44,5964
38.52,4947
38.6,5697
38.68,5349
38.76,5496
38.84,5582
38.92,5062
39,5740
39.08,4566
39.16,5135
39.24,4000
39.32,4594
39.4,4249
39.48,3999
39.56,4368
39.64,3857
39.72,4251
39.8,4825
39.88,4344
39.96,5374
40.04,4172
40.12,5234
40.2,4033
40.28,5595
40.36,3956
40.44,5549
40.52,4480
40.6,5026
40.68,5004
40.76,4918
40.84,4998
40.92,4601
41,5320
41.08,4482
41.16,4831
41.24,3916
41.32,4415
41.4,4374
41.48,4107
41.56,4460
41.64,4144
41.72,4318
41.8,4791
41.88,4122
41.96,5185
42.04,3930
42.12,5159
42.2,3886
42.28,5520
42.36,3784
42.44,5384
42.52,4313
42.6,5154
42.68,4781
42.76,4919
42.84,4911
42.92,4576
43,5186
43.08,4082
43.16,4535
43.24,3592
43.32,4065
43.4,3922
43.48,3788
43.56,3944
43.64,3423
43.72,3765
43.8,4150
43.88,3804
43.96,4859
44.04,3672
44.12,4743
44.2,3736
44.28,5153
44.36,3468
44.44,4922
44.52,4128
44.6,4516
44.68,4306
44.76,4435
44.84,4482
44.92,3845
45,4585
45.08,3736
45.16,4417
45.24,3496
45.32,3837
45.4,3744
45.48,3480
45.56,3938
45.64,3547
45.72,3754
45.8,4027
45.88,3859
45.96,4448
46.04,3492
46.12,4472
46.2,3331
46.28,4731
46.36,3358
46.44,4696
46.52,3766
46.6,4531
46.68,4207
46.76,4126
46.84,4196
46.92,3820
47,4496
47.08,3551
47.16,4000
47.24,2941
47.32,3459
47.4,3348
47.48,3007
47.56,3282
47.64,2897
47.72,3149
47.8,3541
47.88,3381
47.96,4081
48.04,3139
48.12,4023
48.2,3116
48.28,4295
48.36,2886
48.44,4178
48.52,3419
48.6,3917
48.68,3669
48.76,3727
48.84,3747
48.92,3478
49,3873
49.08,3101
49.16,3632
49.24,2788
49.32,3233
49.4,3193
49.48,2923
49.56,3243
49.64,2872
49.72,3097
49.8,3346
49.88,3073
49.96,3524
50.04,2821
50.12,3583
50.2,2789
50.28,3825
50.36,2754
50.44,3844
50.52,3136
50.6,3604
50.68,3369
50.76,3371
50.84,3321
50.92,3072
51,3573
51.08,2810
51.16,3204
51.24,2373
51.32,2818
51.4,2579
51.48,2334
51.56,2666
51.64,2257
51.72,2459
51.8,2832
51.88,2556
51.96,3120
52.04,2434
52.12,3086
52.2,2458
52.28,3474
52.36,2272
52.44,3312
52.52,2586
52.6,2908
52.68,2770
52.76,2740
52.84,2801
52.92,2528
53,2955
53.08,2254
53.16,2735
53.24,2099
53.32,2306
53.4,2361
53.48,2152
53.56,2427
53.64,2086
53.72,2263
53.8,2423
53.88,2268
53.96,2630
54.04,2077
54.12,2597
54.2,2042
54.28,2768
54.36,1932
54.44,2744
54.52,2229
54.6,2533
54.68,2411
54.76,2503
54.84,2302
54.92,2143
55,2545
55.08,1990
55.16,2174
55.24,1675
55.32,1907
55.4,1745
55.48,1560
55.56,1857
55.64,1528
55.72,1612
55.8,1870
55.88,1785
55.96,2047
56.04,1557
56.12,1964
56.2,1555
56.28,2119
56.36,1417
56.44,2084
56.52,1677
56.6,1902
56.68,1809
56.76,1785
56.84,1755
56.92,1542
57,1772
57.08,1450
57.16,1672
57.24,1270
57.32,1396
57.4,1403
57.48,1238
57.56,1379
57.64,1226
57.72,1212
57.8,1355
57.88,1230
57.96,1460
58.04,1160
58.12,1423
58.2,1137
58.28,1504
58.36,986
58.44,1394
58.52,1175
58.6,1304
58.68,1228
58.76,1211
58.84,1216
58.92,1060
59,1208
59.08,954
59.16,968
59.24,602
59.32,704
59.4,476
59.48,401
59.56,271
59.64,95
59.72,38
59.8,50
59.88,23
59.96,15
